Numer og≥oszenia,nazwa zamawiajπcego,Rodzaj zamÛwienia,cpv,Tryb udzielenia zamÛwienia,Ca≥kowita wartoúÊ zamÛwienia bez vat,Liczba otrzymanych ofert,Cena wybranej oferty,Oferta z najniøszπ cenπ,Oferta z najwyøszπ cenπ,wykonawcy
 186984 - 2014," ""Inwestycje Miejskie"" Sp. z o.o.", Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 7102976,55 PLN.", 4.," 6145905,00"," 6145905,00 "," 8904755,97","PRZYBYLSKI SpÛ≥ka Jawna, ul. Barska 47, 87-800 W≥oc≥awek, kraj/woj. kujawsko-pomorskie."
 120175 - 2014, Gmina KrasnobrÛd, Roboty budowlane., 45.26.00.00-7., Przetarg ograniczony," 195000,00 PLN.", 2.," 168290,00"," 168290,00 "," 234398,84","PrzedsiÍbiorstwo Produkcyjno- Handlowe TORFEX SpÛ≥ka z o.o., ul. Handlowa 2, 22-440 KrasnobrÛd, kraj/woj. lubelskie."
 188006 - 2014, Sto≥eczny Zarzπd Infrastruktury, Roboty budowlane., 45.11.00.00-7., Przetarg ograniczony," 7594911,32 PLN.", 11.," 5386997,84"," 5386997,84 "," 8594565,38","CONTROL NET SP. Z O.O., ul. MetalowcÛw 9, 54-156 Wroc≥aw, kraj/woj. dolnoúlπskie."
 188888 - 2014, WojewÛdzki Zarzπd Melioracji i UrzπdzeÒ Wodnych, Roboty budowlane.," 45.24.64.00-7, 45.24.60.00-3.", Przetarg ograniczony," 713059,71 PLN.", 6.," 519796,93"," 519796,93 "," 831002,58","Rolnicza SpÛ≥dzielnia Produkcyjna w Regulicach , Regulice 27, 48-300 Nysa, kraj/woj. opolskie."
 189002 - 2014, WojewÛdzki Zarzπd Melioracji i UrzπdzeÒ Wodnych, Roboty budowlane.," 45.24.64.00-7, 45.24.60.00-3.", Przetarg ograniczony," 508146,56 PLN.", 12.," 348713,95"," 348713,95 "," 1193383,95","PolstrÛj , ul. PowstaÒcÛw ål. 41, 42-140 Panki, kraj/woj. úlπskie."
 121363 - 2014, Kancelaria Sejmu RP, Roboty budowlane.," 45.21.61.14-6, 45.11.12.00-0, 45.30.00.00-0, 45.33.00.00-9, 45.40.00.00-1, 45.26.25.12-3, 45.11.27.10-5.", Przetarg ograniczony," 20153000,00 PLN.", 2.," 18449972,08"," 18449972,08 "," 22002200,00","SKANSKA S.A., ul. Gen. J. Zajπczka 9, 01-518 Warszawa, kraj/woj. mazowieckie."
 122105 - 2014, Rejonowy Zarzπd Infrastruktury, Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 12490292,20 PLN.", 4.," 10550700,74"," 10550700,74 "," 11313354,36","Zak≥ad Techniczno - Budowlany POLBAU Sp. z o.o., Ul. Grunwaldzka 25, 45-054 Opole, kraj/woj. opolskie."
 189660 - 2014, Narodowy Bank Polski Oddzia≥ OkrÍgowy w Zielonej GÛrze, Roboty budowlane.," 45.00.00.00-7, 45.43.21.11-5, 45.33.11.00-7, 45.45.30.00-7, 45.31.12.00-2.", Przetarg ograniczony," 123983,12 PLN.", 2.," 144099,22"," 144099,22 "," 147292,54","Romuald Paszkowski Budownictwo OgÛlne PASZKOWSKI, ul. Cytrynowa 9, 65-160 Zielona GÛra, kraj/woj. lubuskie."
 190018 - 2014, Gmina Solec Kujawski, Roboty budowlane.," 45.40.00.00-1, 45.26.10.00-4, 45.32.00.00-6, 45.21.00.00-2, 45.11.13.00-1.", Przetarg ograniczony," 2629755,43 PLN.", 1.," 2615778,08"," 2615778,08 "," 2615778,08","STYL-BUD PrzedsiÍbiorstwo Budowlane Krzysztof JagodziÒski, ul. Fiedlera 9, 85-796 Bydgoszcz, kraj/woj. kujawsko-pomorskie."
 191186 - 2014, Dolnoúlπski Zarzπd Melioracji i UrzπdzeÒ Wodnych we Wroc≥awiu, Roboty budowlane., 45.45.30.00-7., Przetarg ograniczony," 446525,61 PLN.", 1.," 441985,22"," 441985,22 "," 441985,22","INBUD S.C., ul. Zielona 8c, 55-200 O≥awa, kraj/woj. dolnoúlπskie."
 191330 - 2014, Konwent oo. BonifratÛw pw. úw. Eløbiety, Roboty budowlane.," 45.21.52.10-2, 45.11.12.91-4, 45.21.13.20-8, 45.30.00.00-0, 42.41.61.00-6, 45.31.00.00-3, 45.23.14.00-9, 45.31.61.00-6, 39.15.00.00-8.", Przetarg ograniczony," 2519416,71 PLN.", 3.," 2530557,73"," 2491999,34 "," 3343779,71","KroúnieÒskie PrzedsiÍbiorstwo Budowlane w Krosnie S.A., ul. Lewakowskiego 25, 38-400 Krosno, kraj/woj. podkarpackie."
 192620 - 2014, Gmina Miejska KrakÛw-Wydzia≥ Inwestycji, Roboty budowlane.," 45.20.00.00-9, 45.21.13.40-4, 71.22.00.00-6, 45.11.12.91-4, 45.10.00.00-8, 77.21.14.00-6.", Przetarg ograniczony," 7924044,00 PLN.", 5.," 5951586,00"," 5951586,00 "," 6913233,60","DORBUD S.A., ZagnaÒska 153, 25-563 Kielce, kraj/woj. úwiÍtokrzyskie."
 192672 - 2014, Gmina Solec Kujawski, Roboty budowlane., 45.31.00.00-3., Przetarg ograniczony," 1044308,33 PLN.", 2.," 733872,13"," 733872,13 "," 807311,33","Comp S.A,, ul. Jutrzenki 116, 02-230 Warszawa, kraj/woj. kujawsko-pomorskie."
 194814 - 2014, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.31.00.00-3, 45.23.20.00-2.", Przetarg ograniczony," 1865100,00 PLN.", 6.," 1039350,00"," 1039350,00 "," 2857734,84","ELEKTROTIM S.A., ul. Stargardzka 8, 54-156 Wroc≥aw, kraj/woj. dolnoúlπskie."
 195420 - 2014, Gmina Solec Kujawski, Roboty budowlane., 45.30.00.00-0., Przetarg ograniczony," 730255,73 PLN.", 2.," 535287,97"," 535287,97 "," 891421,90","Wamont Zak≥ad Instalacyjno-Handlowy Waldemar Lutomski, ul.Biziela 23/21, 85-163 Bydgoszcz, kraj/woj. kujawsko-pomorskie."
 195900 - 2014, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 45.00.00.00-7, 45.11.13.00-1, 45.26.27.00-8, 45.11.12.91-4, 45.33.00.00-9, 45.31.40.00-1, 45.31.00.00-3, 45.31.22.00-9.", Przetarg ograniczony," 10734178,59 PLN.", 3.," 8084390,24"," 8084390,24 "," 11239837,40","ASD Sp. z o.o. - Lider Konsorcjum, ul. PodgÛrna 46, 70-205 Szczecin, kraj/woj. zachodniopomorskie."
 195946 - 2014, WojewÛdzki Zarzπd Melioracji i UrzπdzeÒ Wodnych, Roboty budowlane.," 45.24.60.00-3, 45.24.64.00-7.", Przetarg ograniczony," 1350000,00 PLN.", 12.," 807340,48"," 581365,40 "," 4830728,30","Zak≥ad Budownictwa i Melioracji Wodnych ""OSTROGA"" Lidia Bachor, Bart≥omiej Ciechanowski , ul. Wojska Polskiego 20, 56-300 Milicz, kraj/woj. dolnoúlπskie."
 196026 - 2014, WojewÛdzki Zarzπd Melioracji i UrzπdzeÒ Wodnych, Roboty budowlane.," 45.24.60.00-3, 45.24.64.00-7.", Przetarg ograniczony," 1342609,54 PLN.", 10.," 995826,48"," 737066,57 "," 25809488,33","Zak≥ad Us≥ug Melioracyjnych i Budowlanych Miros≥aw Materak , Schodnia ul. Go≥πba 30, 46-040 Ozimek, kraj/woj. opolskie."
 156838 - 2014, WojewÛdzki Sπd Administracyjny w Warszawie, Roboty budowlane., 45.00.00.00-0., Przetarg ograniczony," 12950252,00 PLN.", 2.," 15480000,00"," 15480000,00 "," 24800000,00","Konsorcjum Firm: P.P.H.U BUDER Danuta Flis Rafa≥ Flis Sp.j. & PrzedsiÍbiorstwo Budowlano- Montaøowe Flisbud Stanis≥aw Flis, ul. BohaterÛw Porytowego WzgÛrza 25, 23-300 JanÛw Lubelski, kraj/woj. lubelskie."
 101057 - 2014, PieniÒski Park Narodowy, Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 222000,00 PLN.", 1.," 270986,31"," 270986,31 "," 270986,31","Zak≥ad Produkcji, Us≥ug wielobranøowych i Handlu Robert Szczepaniak, ul. Skotnicka 51, 31-460 Szczawnica, kraj/woj. ma≥opolskie."
 104105 - 2014, Teatr Muzyczny ROMA w Warszawie, Roboty budowlane.," 45.00.00.00-7, 45.20.00.00-9, 45.31.00.00-1, 45.40.00.00-1, 45.21.00.00-2, 45.22.00.00-5, 45.31.00.00-3, 45.33.00.00-9, 39.11.31.00-8, 45.44.00.00-1, 45.32.00.00-6, 45.45.00.00-6, 45.42.00.00-7, 45.11.00.00-1, 45.41.00.00-4, 45.43.00.00-0, 45.45.00.00-6, 45.21.10.00-4, 45.45.30.00-7, 45.26.25.10-9, 45.31.10.00-0.", Przetarg ograniczony," 9750000,00 PLN.", 1.," 9594000,00"," 9594000,00 "," 9594000,00","Polskie Pracownie Konserwacji ZabytkÛw S.A., ul. K. WÛycickiego 15, 01-938 Warszawa, kraj/woj. mazowieckie."
 162616 - 2014, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.31.43.20-0, 45.23.10.00-5, 45.31.10.00-0.", Przetarg ograniczony," 510430,00 PLN.", 2.," 595301,62"," 595301,62 "," 640510,45","Control Net Sp. z o.o., ul. MetalowcÛw 9, 54-156 Wroc≥aw, kraj/woj. dolnoúlπskie."
 105357 - 2014, Gmina £ubnice, Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 5060847,82 PLN.", 5.," 3354066,77"," 3354066,77 "," 3778152,40","PrzedsiÍbiorstwo Budownictwa i Instalacji ABT Sp. z z o.o., ul. BÛr 139,, 42-202 CzÍstochowa, kraj/woj. úlπskie."
 165098 - 2014, Muzeum Narodowe w Poznaniu, Roboty budowlane.," 45.31.11.00-1, 45.31.21.00-8, 45.31.22.00-9.", Przetarg ograniczony," 233933,16 PLN.", 2.," 214991,70"," 214991,70 "," 216929,50","Specjalistyczne PrzedsiÍbiorstwo Instalacji Alarmowych AMERAL Sp. z o.o., ul. PowstaÒcÛw Wlkp. 16, 61-895 PoznaÒ, kraj/woj. wielkopolskie."
 165760 - 2014, NadbuøaÒski Oddzia≥ Straøy Granicznej, Roboty budowlane.," 45.00.00.00-7, 45.21.61.00-5, 45.22.00.00-5, 45.30.00.00-0, 45.33.00.00-9, 45.31.43.20-0, 45.31.40.00-1, 45.31.22.00-9, 45.31.21.00-8, 45.31.00.00-3.", Przetarg ograniczony," 12190501,87 PLN.", 6.," 12582900,00"," 12582900,00 "," 16262677,46","Lider Konsorcjum: PrzedsiÍbiorstwo Wielobranøowe BUDMAT Sp. j. Tadeusz Rozmus, JÛzef Ma≥ysz, ul. Namys≥owskiego 2, 22-400 ZamoúÊ, kraj/woj. lubelskie."
 172186 - 2014, Gmina CzosnÛw, Roboty budowlane.," 45.23.31.20-6, 45.23.31.23-7.", Przetarg ograniczony," 639054,23 PLN.", 5.," 672889,51"," 672889,51 "," 800344,88","SpÛ≥dzielnia KÛ≥ek Rolniczych w Czosnowie, ul. Rolnicza 19, 05-152 CzosnÛw, kraj/woj. mazowieckie."
 172494 - 2014, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.23.23.00-5, 45.30.00.00-0.", Przetarg ograniczony," 2649614,90 PLN.", 6.," 1677869,67"," 1677869,67 "," 2609227,76","Comp SpÛ≥ka Akcyjna, ul. Jutrzenki 113, 02-230 Warszawa, kraj/woj. mazowieckie."
 175504 - 2014, Prywatny Zarzπd Mieszkaniami Sp. z o.o., Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 262500,00 PLN.", 3.," 264483,36"," 264483,36 "," 287631,21","MolÍda Building Group Krzysztof MolÍda, Podlasek 8a, 58-130 Stopnica,, kraj/woj. úwiÍtokrzyskie."
 175692 - 2014, Starostwo Powiatowe we Wroc≥awiu, Roboty budowlane.," 45.00.00.00-7, 31.51.80.00-0, 44.22.12.20-3.", Przetarg ograniczony," 212963,00 PLN.", 3.," 199167,90"," 199167,90 "," 258120,00","FER-BUD SpÛ≥ka z ograniczonπ odpowiedzialnoúciπ, ul. Obornicka 49/8, 51-113 Wroc≥aw, kraj/woj. dolnoúlπskie."
 175818 - 2014, Zak≥ad Inwestycji Organizacji Traktatu PÛ≥nocnoatlantyckiego, Roboty budowlane.," 45.31.10.00-0, 45.31.73.00-5, 45.23.14.00-9.", Przetarg ograniczony," 494000,00 PLN.", 3.," 297580,71"," 297580,71 "," 431349,82","Elektrobud-Grudziπdz Sp. z o.o., ul. Gierymskiego 27, 86-300 Grudziπdz, kraj/woj. kujawsko-pomorskie."
 178452 - 2014, Dolnoúlπski Zarzπd Melioracji i UrzπdzeÒ Wodnych we Wroc≥awiu, Roboty budowlane., 45.45.30.00-7., Przetarg ograniczony," 1591945,52 PLN.", 4.," 856890,93"," 856890,93 "," 1601954,26","Budownictwo Hydro - Energetyka DychÛw SpÛ≥ka z o.o., DychÛw 6a, 66-626 DychÛw, kraj/woj. lubuskie."
 178964 - 2014, Powiat BÍdziÒski, Roboty budowlane.," 45.23.32.20-7, 45.23.32.22-1.", Przetarg ograniczony," 4193467,58 PLN.", 6.," 3147360,13"," 3147360,13 "," 4409769,25","PrzedsiÍbiorstwo Budowy DrÛg DROGOPL-ZW Sp. z o.o., ul. Siemianowicka 52d, 40-301 Katowice, kraj/woj. úlπskie."
 180914 - 2014, Centrum Us≥ug WspÛlnych, Roboty budowlane.," 45.31.73.00-5, 31.21.31.00-3, 45.31.10.00-0, 45.31.53.00-1, 45.33.12.20-4, 45.40.00.00-1, 71.32.00.00-7, 71.32.31.00-9.", Przetarg ograniczony," 760100,00 PLN.", 1.," 996300,00"," 996300,00 "," 996300,00","LEGAT ELTEL Janusz Legat, ul. Improwizacji 5, 01-992 Warszawa, kraj/woj. mazowieckie."
 181072 - 2014, Urzπd Miejski w Wo≥owie, Roboty budowlane.," 45.45.30.00-7, 45.42.10.00-4, 45.43.00.00-0, 45.31.12.00-2, 45.33.20.00-3, 45.10.00.00-8, 45.23.32.22-1, 45.42.11.60-3.", Przetarg ograniczony," 243365,90 PLN.", 4.," 267817,73"," 267817,73 "," 305395,57","Zak≥ad Budowlano - Montaøowy ELK-BUD, ul. Wojska Polskiego 30/1, 56-100 Wo≥Ûw, kraj/woj. dolnoúlπskie."
 181278 - 2014, Sπd Apelacyjny w GdaÒsku, Roboty budowlane.," 45.00.00.00-7, 45.40.00.00-1, 45.45.30.00-7, 44.21.00.00-5, 45.30.00.00-0.", Przetarg ograniczony," 20647686,66 PLN.", 2.," 10962999,08"," 10962999,08 "," 12499773,00","ZAK£AD ROB”T OG”LNOBUDOWLANYCH Stanis≥aw RepiÒski, ul.Fa≥ata 10, 83-400 Koúcierzyna, kraj/woj. pomorskie."
 181298 - 2014, WojewÛdzki Fundusz Ochrony årodowiska i Gospodarki Wodnej w £odzi, Roboty budowlane.," 45.20.00.00-9, 45.10.00.00-8, 45.11.12.91-4, 45.30.00.00-0, 45.31.10.00-0, 45.31.00.00-3, 45.31.43.20-0, 45.31.31.00-5, 45.33.00.00-9, 45.33.11.00-7, 45.33.12.10-1, 45.34.20.00-6, 45.31.12.00-2, 45.40.00.00-1, 45.23.31.40-2, 72.21.14.00-6, 71.33.10.00-7.", Przetarg ograniczony," 18352297,50 PLN.", 2.," 18447404,70"," 18447404,70 "," 21299568,17","Skanska S.A., ul. Gen.J.Zajπczka 9, 01-518 Warszawa, kraj/woj. mazowieckie."
 183264 - 2014, Gmina KleszczÛw, Roboty budowlane.," 45.21.13.40-1, 45.40.00.00-1, 45.42.00.00-7, 45.43.00.00-0, 45.30.00.00-0, 45.33.00.00-9, 45.33.20.00-3, 45.33.22.00-5, 45.33.23.00-6, 45.33.24.00-7, 45.32.00.00-6, 45.32.10.00-3, 45.33.30.00-0, 45.31.00.00-3, 45.31.10.00-0, 45.31.40.00-1, 45.31.43.20-0.", Przetarg ograniczony," 9957212,13 PLN.", 4.," 5592402,60"," 5592402,60 "," 6762112,65","Piotr Machalewski i Witold åwitkowski PrzedsiÍbiorstwo Budowlano-Us≥ugowe WIKTOR SpÛ≥ka jawna - Lider konsorcjum, ul. Kolejowa 8, 97-500 Radomsko, kraj/woj. ≥Ûdzkie."
 183312 - 2014, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 45.21.00.00-2, 71.22.00.00-6, 45.11.12.00-0, 45.11.12.91-4, 71.24.80.00-8.", Przetarg ograniczony," 223392,27 PLN.", 1.," 216250,00"," 216250,00 "," 216250,00","ZEUS S.A., ul. ObroÒcÛw Westerplatte 1, 83-000 Pruszcz GdaÒski, kraj/woj. pomorskie."
 106538 - 2014, Urzπd Miejski w Wo≥owie, Roboty budowlane.," 45.23.32.20-7, 45.23.31.42-6, 45.23.32.51-3, 14.21.20.00-0.", Przetarg ograniczony," 555000,00 PLN.", 1.," 492000,00"," 492000,00 "," 492000,00","PrzedsiÍbiorstwo Budowy i Utrzymania DrÛg i MostÛw Sp. z o.o., Piotroniowice 54, 56-100 Wo≥Ûw, kraj/woj. dolnoúlπskie."
 68243 - 2014, Gmina Miasta GdaÒsk Urzπd Miejski w GdaÒsku, Roboty budowlane.," 45.00.00.00-7, 45.11.00.00-1, 45.30.00.00-0, 45.40.00.00-1.", Przetarg ograniczony," 767474,51 PLN.", 5.," 902753,36"," 902753,36 "," 1115241,52","PrzedsiÍbiorstwo Budowlano Handlowe BARTIMEX Sp. z o.o., ul. Firlika 26, 60-692 PoznaÒ, kraj/woj. wielkopolskie."
 71609 - 2014, Gmina Nysa - Urzπd Miejski w Nysie, Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 465869,00 PLN.", 7.," 453996,38"," 453996,38 "," 706631,04","PrzedsiÍbiorstwo Kanalizacyjno - Melioracyjne BIELA Kamil Biela, Sidzina ul. Grodkowska 1, 48-320 Nysa, kraj/woj. opolskie."
 119686 - 2014, Departament Administracyjny MON, Roboty budowlane.," 45.11.13.00-1, 45.22.32.10-1, 45.26.25.22-6, 45.31.21.00-8, 45.31.22.00-9, 45.31.43.00-4, 32.42.00.00-3.", Przetarg ograniczony," 255496,76 PLN.", 2.," 303539,59"," 303539,59 "," 310575,00","ZBAR PHU MARIUSZ POPENDA, ul. Krakowska 60, 94-214 £Ûdü, kraj/woj. ≥Ûdzkie."
 77083 - 2014, Wyøsza Szko≥a Oficerska Wojsk Lπdowych im. gen. Tadeusza Koúciuszki, Roboty budowlane.," 45.31.22.00-9, 45.31.22.00-9, 45.31.10.00-0, 45.31.56.00-4.", Przetarg ograniczony," 119153,45 PLN.", 2.," 69903,94"," 94117,99 "," 69903,94","PRODUS s.a., ul. Bystrzycka 69 C, 54-215 Wroc≥aw, kraj/woj. dolnoúlπskie."
 122926 - 2014, Rejonowy Zarzπd Infrastruktury Zielona GÛra, Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 764800,00 PLN.", 2.," 1059319,06"," 1059319,06 "," 1095561,00","Konsorcjum firm: LIDER: PRE-FABRYKAT Sp. z o.o. PARTNER: PRODUS S.A., Mi≥kÛw ul. Brzezie Karkonoskie 2, 58-540 Karpacz, kraj/woj. dolnoúlπskie."
 84549 - 2014, Zamek KrÛlewski na Wawelu - PaÒstwowe Zbiory Sztuki, Roboty budowlane.," 92.52.22.00-8, 45.00.00.00-7, 45.20.00.00-9, 45.21.23.50-4, 45.26.20.00-1, 45.26.10.00-4, 45.41.00.00-4, 45.26.21.00-2, 45.26.12.11-6, 45.26.19.10-6, 45.26.12.13-0, 45.26.19.00-3, 45.45.30.00-7.", Przetarg ograniczony," 325060,80 PLN.", 4.," 340609,79"," 340609,79 "," 583370,62","LIDER: Jaros≥aw Woüniak Firma Budowlano-Konserwatorska , ul. p≥k. Francesco Nullo 7/4, 31-543 KrakÛw, kraj/woj. ma≥opolskie."
 133342 - 2014, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.23.23.30-4, 45.31.00.00-3.", Przetarg ograniczony," 1124447,60 PLN.", 1.," 1370167,45"," 1370167,45 "," 1370167,45","AKE-PIS S.A., ul. Modra 52, 54-151 Wroc≥aw, kraj/woj. dolnoúlπskie."
 135098 - 2014, Zarzπd DrÛg Powiatowych w Poznaniu, Roboty budowlane.," 45.10.00.00-8, 45.23.30.00-9.", Przetarg ograniczony," 12569696,80 PLN.", 5.," 4880628,92"," 4880628,92 "," 6306136,56","Colas Polska Sp. z o.o., ul. Nowa 49, 62-070 PalÍdzie, kraj/woj. wielkopolskie."
 90663 - 2014, Centrum Us≥ug WspÛlnych, Roboty budowlane., 45.34.30.00-3., Przetarg ograniczony," 248843,74 PLN.", 2.," 348970,38"," 348970,38 "," 525023,17","AMP Sp. z o.o. - Lider Konsorcjum A-Projekt Sp. z o.o. - Partner Konsorcjum, ul. Sarmacka 5G, 02-972 Warszawa, kraj/woj. mazowieckie."
 145870 - 2014, Biuro Logistyki S≥uøby Kontrwywiadu Wojskowego, Roboty budowlane.," 45.23.21.40-5, 45.33.10.00-6.", Przetarg ograniczony," 446557,64 PLN.", 3.," 344749,36"," 336266,45 "," 461053,32","PRZEDSI BIORSTWO INSTALACYJNO-BUDOWLANE PRZYBYSZEWSCY I WSP”LNICY S.C., UL. ZOSI 8, 05-270 MARKI, kraj/woj. mazowieckie."
 148514 - 2014, Nadleúnictwo Jedwabno, Roboty budowlane.," 45.45.30.00-7, 45.11.13.00-1, 45.26.25.22-6, 45.42.20.00-1, 45.26.12.13-0, 45.32.00.00-6, 45.42.11.52-4, 45.41.00.00-4, 45.43.00.00-0, 45.42.10.00-4, 45.44.21.80-2, 45.33.11.00-7, 45.33.11.10-0, 45.33.20.00-3.", Przetarg ograniczony," 128546,79 PLN.", 1.," 137796,18"," 137796,18 "," 137796,18","US£UGI REMONTOWO-BUDOWLANE Andrzej Cytruk, ul. Ogrodowa 3, 12-122 Jedwabno, kraj/woj. warmiÒsko-mazurskie."
 149604 - 2014, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.23.23.00-5, 45.30.00.00-0.", Przetarg ograniczony," 1725367,48 PLN.", 6.," 1029365,60"," 1029365,60 "," 1330217,47","TP TELTECH Sp.z o.o., Al. T.Kosciuszki 5/7, 90-418 £Ûdü, kraj/woj. ≥Ûdzkie."
 149948 - 2014, Gmina £abowa, Roboty budowlane.," 45.11.12.00-0, 45.21.00.00-2, 45.40.00.00-1, 45.23.24.10-9, 45.23.24.21-9, 45.30.00.00-0, 45.23.31.42-6.", Przetarg ograniczony," 8350973,42 PLN.", 5.," 5498142,46"," 5498142,46 "," 8859400,89","Krzysztof Machnik PrzedsiÍbiorstwo Budownictwa Inøynieryjnego MACHNIK, Mochnaczka Wyøna 59, 33-380 Krynica ZdrÛj, kraj/woj. ma≥opolskie."
 96675 - 2014, Urzπd Miejski O≥awa, Roboty budowlane.," 45.23.31.20-6, 45.23.21.30-2, 45.31.61.10-9.", Przetarg ograniczony," 700340,60 PLN.", 7.," 558420,00"," 558420,00 "," 757065,00","PrzedsiÍbiorstwo Us≥ug Inwestycyjno - Remontowych INREM Sp. z o.o., Rynek 24, 55-200 O≥awa, kraj/woj. dolnoúlπskie."
 96821 - 2014," Wodociπgi i Kanalizacja ""Hydrokom"" Sp. z o.o.", Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 15133177,78 PLN.", 6.," 16158323,39"," 16158323,39 "," 18988417,40","Zak≥ad Techniczno-Budowlany POLBAU Sp. z o.o, ul. Grunwaldzka 25, 45-054 Opole, kraj/woj. opolskie."
 97165 - 2014, Gmina Z≥otÛw, Roboty budowlane., 45.23.31.61-5., Przetarg ograniczony," 234687,31 PLN.", 1.," 369275,24"," 369275,24 "," 369275,24","Zak≥ad OgÛlnobudowlany Zbigniew Plak, Ul. Rzemieúlnicza 5, 77-400 Z≥otÛw, kraj/woj. wielkopolskie."
 152704 - 2014, Morska S≥uøba Poszukiwania i Ratownictwa, Roboty budowlane., 45.21.61.20-1., Przetarg ograniczony," 1975468,23 PLN.", 6.," 1523342,97"," 1523342,97 "," 2252660,54","starogardzkie PrzedsiÍbiorstwo Budowlane S-Bud S.A., ul. Ceynowy 27, 83-200 Starogard GdaÒski, kraj/woj. pomorskie."
 153174 - 2014, Teatr Polski im. Arnolda Szyfmana w Warszawie, Roboty budowlane.," 45.00.00.00-7, 31.00.00.00-6, 32.00.00.00-3, 32.41.00.00-0, 44.00.00.00-0, 45.10.00.00-8, 45.20.00.00-9, 45.30.00.00-0, 45.31.00.00-3, 45.32.30.00-7, 45.35.00.00-5, 45.40.00.00-1, 48.00.00.00-8, 51.00.00.00-9, 51.10.00.00-3, 51.60.00.00-8, 51.90.00.00-1, 71.00.00.00-8, 71.24.80.00-8, 72.00.00.00-5.", Przetarg ograniczony," 4803550,00 PLN.", 3.," 3214605,00"," 3214605,00 "," 3498100,00","Mikor Inøyniering Sp. z o. o. Mikor - Automatyka Miko≥ajczyk Rados≥aw, Tuchler Polska Sp. z o. o. Przeds. Specjalist. TEATR - Marek GumiÒski, ul. Poøaryskiego 28/22/101, etc., 00-000 04-703 i 03-876 W-wa, 05-220 Zielonka, 05-501 Piaseczno, kraj/woj. mazowieckie."
 153860 - 2014, Dolnoúlπski Zarzπd Melioracji i UrzπdzeÒ Wodnych we Wroc≥awiu, Roboty budowlane., 45.45.30.00-7., Przetarg ograniczony," 595147,27 PLN.", 2.," 542639,51"," 542639,51 "," 555738,81","INBUD S.C., ul. Zielona 8c JanikÛw, 55-200 O≥awa, kraj/woj. dolnoúlπskie."
 74210 - 2014, Centrum Psychiatrii w Katowicach, Roboty budowlane.," 45.21.51.40-0, 45.43.21.10-8, 45.43.12.00-9, 45.44.21.00-8, 45.41.00.00-4, 45.42.11.52-4, 45.33.12.20-4, 45.33.12.10-1, 45.26.25.22-6, 45.31.12.00-2.", Przetarg ograniczony," 101546,27 PLN.", 9.," 92876,39"," 92876,39 "," 139585,92","Zak≥ad Instalacyjno-Remontowy ZBYSZKO Zbigniew Piecha., ul.Jasna 138, 43-190 Miko≥Ûw, kraj/woj. úlπskie."
 77788 - 2014, Gmina Miejska Nowe Miasto Lubawskie, Roboty budowlane.," 45.23.24.10-9, 45.11.12.00-0.", Przetarg ograniczony," 3289393,50 PLN.", 4.," 2430172,50"," 2430172,50 "," 3305010,00","PrzedsiÍbiorstwo RobÛt Sanitarnych i Wodno-Melioracyjnych Ekomel Sp. z o.o., ul. Kopernika 8a, 14-100 OstrÛda, kraj/woj. warmiÒsko-mazurskie."
 77934 - 2014, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 45.00.00.00-7, 45.11.13.00-1, 45.26.27.00-8, 45.11.12.91-4, 45.33.00.00-9, 45.31.40.00-1, 45.31.00.00-3.", Przetarg ograniczony," 5295864,94 PLN.", 4.," 3924098,28"," 3924098,28 "," 4588716,02","TYTAN Systemy BezpieczeÒstwa Sp. z o.o.- Lider Konsorcjum, ul. I Armii Wojska Polskiego 7A lok. 1, 15-102 Bia≥ystok, kraj/woj. podlaskie."
 79756 - 2014, Urzπd Miejski w Wo≥owie, Roboty budowlane.," 45.23.32.22-1, 45.23.32.00-1.", Przetarg ograniczony," 648735,70 PLN.", 3.," 575363,10"," 575363,10 "," 740224,46","PrzedsiÍbiorstwo Budowy I Utrzymania DrÛg I MostÛw Sp. z o.o., Piotroniowice 54, 56-100 Wo≥Ûw, kraj/woj. dolnoúlπskie."
